Region,Month,Year,Comment,Sentiment,Sentiment Score,Risk Analysis
Arunachal Pradesh,June,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Munnar,August,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Darjeeling,May,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Munnar,April,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Nilgiri,April,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Meghalaya,August,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Darjeeling,February,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Dooars,April,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Meghalaya,March,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Darjeeling,June,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Tripura,May,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Darjeeling,October,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Tripura,December,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Dooars,September,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Nilgiri,April,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Munnar,January,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Wayanad,November,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Munnar,March,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Wayanad,July,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Darjeeling,November,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Dooars,November,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Tripura,June,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Terai,November,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Assam,June,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Nilgiri,June,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Darjeeling,October,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Assam,March,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Nilgiri,September,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Meghalaya,March,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Munnar,April,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Wayanad,October,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Dooars,August,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Darjeeling,August,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Wayanad,December,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Arunachal Pradesh,August,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Terai,January,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Nilgiri,July,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Tripura,October,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Tripura,January,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Meghalaya,February,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Wayanad,September,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Munnar,October,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Munnar,January,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Munnar,June,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Tripura,May,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Wayanad,April,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Darjeeling,July,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Meghalaya,December,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Meghalaya,January,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Wayanad,December,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Tripura,February,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Nilgiri,November,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Wayanad,September,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Nilgiri,February,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Assam,February,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Assam,September,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Assam,May,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Terai,February,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Nilgiri,July,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Munnar,January,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Dooars,March,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Dooars,April,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Dooars,August,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Assam,October,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Meghalaya,November,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Dooars,February,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Terai,August,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Terai,May,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Arunachal Pradesh,January,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Tripura,August,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Tripura,June,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Terai,December,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Terai,June,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Munnar,January,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Assam,September,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Meghalaya,July,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Assam,February,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Munnar,February,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Dooars,June,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Darjeeling,January,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Terai,January,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Meghalaya,September,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Arunachal Pradesh,May,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Darjeeling,August,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Dooars,September,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Assam,July,2021,Road blockages due to flooding delayed the shipment.,LABEL_0,0.520764828,Road blockages due to flooding.
Arunachal Pradesh,April,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Terai,July,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Terai,January,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Assam,December,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Wayanad,August,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Wayanad,July,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Terai,April,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Meghalaya,July,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Darjeeling,February,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Assam,December,2021,Labor strike at the port delayed the shipment.,LABEL_0,0.513508677,Port congestion causing delays.
Dooars,March,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Terai,September,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
Terai,June,2021,"Due to rush at the port, the shipment was delayed.",LABEL_0,0.516597629,Port congestion causing delays.
Meghalaya,December,2021,Customs clearance issues delayed the shipment.,LABEL_0,0.509825945,Delays due to customs clearance issues.
Tripura,July,2021,Adverse weather conditions caused a delay in transportation.,LABEL_0,0.511364818,Adverse weather conditions affecting supply.
