Region,Month,Year,Rainfall (mm),Tea Production (tons),Tea Supply (tons),Tea Demand (tons),Comment
Terai,October,2021,1985.5369256669478,146.923567173883,140.1929824062592,131.8213959460721,"Due to rush at the port, the shipment was delayed."
Arunachal Pradesh,November,2021,1704.3499691360184,158.70446169537894,153.3825378787715,165.72291785205357,"Due to rush at the port, the shipment was delayed."
Terai,October,2021,1305.7360844162174,104.88752880821397,98.98588851094368,109.45058045219129,Road blockages due to flooding delayed the shipment.
Munnar,November,2021,958.7679678688149,86.10553543092557,76.66008874171155,73.01650459141152,Adverse weather conditions caused a delay in transportation.
Assam,July,2021,1406.3058740679007,487.32339154971066,464.62673512614833,532.340391977956,Road blockages due to flooding delayed the shipment.
Tripura,March,2021,1773.934213513677,284.306126036598,230.55413490891812,254.98820335925572,Adverse weather conditions caused a delay in transportation.
Assam,February,2021,1732.6531240357583,204.56556936853946,196.09321107440482,214.70261155418328,Labor strike at the port delayed the shipment.
Dooars,January,2021,1332.0883850145447,487.7147173121394,424.1102689713127,446.64836318046764,Labor strike at the port delayed the shipment.
Arunachal Pradesh,April,2021,1434.0702867921132,60.48822511705571,55.63337408556647,53.17536488062199,Customs clearance issues delayed the shipment.
Terai,August,2021,1429.397239534649,401.89647022971536,398.5813364174664,397.48572196191327,Customs clearance issues delayed the shipment.
Darjeeling,December,2021,982.7875209207134,82.05251044896454,77.29040879051571,91.3446038454443,"Due to rush at the port, the shipment was delayed."
Darjeeling,June,2021,1768.4862926098556,308.49022306376736,301.40893191343446,321.91754027472103,Labor strike at the port delayed the shipment.
Nilgiri,July,2021,507.70262227765886,143.83715870972486,133.35233032777592,143.75267364053752,Adverse weather conditions caused a delay in transportation.
Darjeeling,June,2021,1894.1434185165633,445.52203737691815,387.58378594099827,362.25566727680894,"Due to rush at the port, the shipment was delayed."
Meghalaya,August,2021,634.5072680944932,318.77566381629566,298.7963866139288,276.2022589659486,Labor strike at the port delayed the shipment.
Meghalaya,September,2021,1826.2670367072012,317.4384445393387,297.63785963177975,334.6062831060815,"Due to rush at the port, the shipment was delayed."
Assam,April,2021,1024.2039460626916,169.54204454603638,159.50434994314347,179.02500057303712,"Due to rush at the port, the shipment was delayed."
Dooars,April,2021,570.011634621511,101.13213081085264,89.88265513486492,104.64754408430407,Adverse weather conditions caused a delay in transportation.
Tripura,December,2021,993.5656897336494,134.83815202503274,111.66641136019018,129.6084604521034,Customs clearance issues delayed the shipment.
Nilgiri,August,2021,921.998305723329,453.63475369516516,418.0744308188608,476.62068521388335,"Due to rush at the port, the shipment was delayed."
Arunachal Pradesh,February,2021,1772.0200494331323,402.4089770560105,322.33424567116754,295.4162106737803,Customs clearance issues delayed the shipment.
Terai,January,2021,1168.6668345937169,201.23804437585324,199.00913363300708,228.43747914278046,Labor strike at the port delayed the shipment.
Arunachal Pradesh,December,2021,676.9663937321021,236.9853502086133,218.2248481303502,196.4053006730282,Road blockages due to flooding delayed the shipment.
Wayanad,January,2021,994.7892767369785,67.85157272655393,56.74027275628515,68.04060629552241,Road blockages due to flooding delayed the shipment.
Dooars,January,2021,1117.195053456754,141.29188554194292,131.32900160848416,146.8625100062017,Customs clearance issues delayed the shipment.
Meghalaya,September,2021,1200.0173040056745,407.9589890451282,365.31312205850566,386.3526382591855,"Due to rush at the port, the shipment was delayed."
Arunachal Pradesh,September,2021,710.3353601546079,126.34729370907932,101.44167716415156,109.19846775268702,Customs clearance issues delayed the shipment.
Munnar,January,2021,1800.4330913004912,399.53998408426054,351.4137706434793,346.36525601333346,"Due to rush at the port, the shipment was delayed."
Munnar,October,2021,1704.7717885114948,340.1564293532246,312.12486736499625,342.01526289919536,Labor strike at the port delayed the shipment.
Munnar,January,2021,1693.9094123942486,313.9230391036128,269.6294187409191,256.99207993420646,"Due to rush at the port, the shipment was delayed."
Terai,May,2021,1462.2492069388563,412.95175115180615,355.5943109986148,375.0976727695201,"Due to rush at the port, the shipment was delayed."
Assam,May,2021,1997.592946262671,233.99380317354417,230.9643195241703,248.95367713014411,Road blockages due to flooding delayed the shipment.
Terai,March,2021,1802.0513610038179,229.98572570177873,197.7867362304205,231.42379494831263,Labor strike at the port delayed the shipment.
Meghalaya,June,2021,1812.665140434984,106.0461128834542,88.676246546362,97.26831523511808,"Due to rush at the port, the shipment was delayed."
Arunachal Pradesh,October,2021,522.7395043897257,334.66555404139086,309.94273153535136,315.67380852846367,Customs clearance issues delayed the shipment.
Tripura,December,2021,1544.9570212953538,467.64246917073945,382.35805299230947,425.1197587257418,Road blockages due to flooding delayed the shipment.
Wayanad,February,2021,1473.9028623319664,362.46616398295004,335.763365579477,370.80371019061175,Adverse weather conditions caused a delay in transportation.
Darjeeling,September,2021,925.3983767847068,496.94796278708316,403.1852038015385,411.80942439069736,Labor strike at the port delayed the shipment.
Tripura,January,2021,1893.3855079837645,308.1336197462749,251.63090015568935,229.9014777295462,Labor strike at the port delayed the shipment.
Arunachal Pradesh,February,2021,1541.6746228291743,262.5214832927303,229.7744391156078,267.00531289779263,Road blockages due to flooding delayed the shipment.
Munnar,March,2021,1300.58160768666,135.09305345574927,125.68280718222871,132.31201807284003,Labor strike at the port delayed the shipment.
Terai,October,2021,628.550604724276,146.47895664848102,128.90072327602743,121.76578869545547,Customs clearance issues delayed the shipment.
Darjeeling,September,2021,1068.0407962782656,144.58994682042223,137.1517811286209,127.67864439359874,Labor strike at the port delayed the shipment.
Nilgiri,August,2021,1218.6146988525068,59.75328226678354,49.39915120439586,49.32325165774545,Labor strike at the port delayed the shipment.
Darjeeling,July,2021,675.7198397828525,200.2108169544106,185.31128547533342,185.5033636928362,Adverse weather conditions caused a delay in transportation.
Dooars,October,2021,1044.9810165326048,456.2455013980444,445.4752438296028,509.5726772664766,Road blockages due to flooding delayed the shipment.
Terai,February,2021,932.239143552795,408.97399210731214,370.7882110861748,428.3142102692673,Customs clearance issues delayed the shipment.
Dooars,April,2021,1543.5596595731245,351.61317329420433,302.1734558203029,348.34226071373445,Road blockages due to flooding delayed the shipment.
Nilgiri,December,2021,697.830259946567,386.08559589220164,326.62887261924214,343.56499390693943,Road blockages due to flooding delayed the shipment.
Munnar,December,2021,1717.7827845463062,488.2078332954958,408.6928805174664,398.5947631779669,"Due to rush at the port, the shipment was delayed."
Assam,February,2021,1171.0836691714358,98.71583309864496,84.72428095636278,90.06804713172056,Customs clearance issues delayed the shipment.
Terai,August,2021,796.0336620901875,201.84111063866368,173.4770393443781,165.14387058210875,Customs clearance issues delayed the shipment.
Munnar,May,2021,1966.7485224726586,415.1058540880342,334.02364978790433,385.96722650217737,"Due to rush at the port, the shipment was delayed."
Munnar,October,2021,1424.5243706307456,75.11289105326796,70.63535667938514,65.17974252040025,Labor strike at the port delayed the shipment.
Darjeeling,February,2021,1707.318702867999,361.37962265394043,310.6261672825238,346.06212851606523,Road blockages due to flooding delayed the shipment.
Tripura,March,2021,1566.2917479403543,325.18364148384296,310.7041542225571,337.97376312988325,Road blockages due to flooding delayed the shipment.
Arunachal Pradesh,April,2021,1836.7176939127635,265.269082310842,254.96591306153096,290.48725146955474,Customs clearance issues delayed the shipment.
Munnar,March,2021,552.4192780595274,265.3800637667813,263.4549888325078,253.5938895115838,Customs clearance issues delayed the shipment.
Darjeeling,December,2021,1067.50394245754,97.64201597575138,79.25416101244737,75.63284134697265,"Due to rush at the port, the shipment was delayed."
Terai,May,2021,1866.8319754111503,492.6933139060118,486.65800132690566,535.7864395759968,Customs clearance issues delayed the shipment.
Terai,September,2021,993.5322093564075,235.06208181335234,207.26457683301285,243.73955945207496,"Due to rush at the port, the shipment was delayed."
Wayanad,June,2021,960.8202143000663,325.946740952439,298.03501283957104,332.2694613699118,"Due to rush at the port, the shipment was delayed."
Terai,December,2021,1294.3519115275417,248.28243277978973,244.86934206768166,227.6863542566375,Labor strike at the port delayed the shipment.
Assam,December,2021,1697.4330856918848,133.50597164406093,115.7584031605824,104.68271566772077,Road blockages due to flooding delayed the shipment.
Darjeeling,June,2021,1417.0596707427587,110.34033451555352,107.21342584244941,104.53075221076108,Labor strike at the port delayed the shipment.
Nilgiri,December,2021,1267.0745232853922,140.78417042864857,129.2580955943459,120.08485770152919,Adverse weather conditions caused a delay in transportation.
Wayanad,July,2021,1337.0080687253107,293.378488453666,260.7870392311087,311.1862607311222,"Due to rush at the port, the shipment was delayed."
Arunachal Pradesh,October,2021,1526.615301828035,229.2188230827047,211.2691394175202,251.787731488545,Road blockages due to flooding delayed the shipment.
Assam,November,2021,1164.258062828371,317.8904684528955,272.37512718688396,322.23203899186484,"Due to rush at the port, the shipment was delayed."
Tripura,February,2021,559.5880517056014,219.39448759274356,189.7176031607237,217.54099191427636,Labor strike at the port delayed the shipment.
Darjeeling,August,2021,772.3181155946211,139.9694790722348,122.63734397325358,129.79809738839876,Customs clearance issues delayed the shipment.
Tripura,August,2021,1234.6157258536052,225.0182832642704,210.258919792901,214.24013503914676,Adverse weather conditions caused a delay in transportation.
Assam,October,2021,884.8396271127158,436.10168191590753,364.0838944464965,385.896697733507,Customs clearance issues delayed the shipment.
Dooars,January,2021,1331.0464212301943,201.4892609314972,171.50165180331476,176.14616691324866,"Due to rush at the port, the shipment was delayed."
Arunachal Pradesh,July,2021,1075.908244311693,186.1120058753271,166.98937657410687,199.85993944109438,"Due to rush at the port, the shipment was delayed."
Wayanad,February,2021,1666.370711965342,328.231662375179,310.0006718645593,329.7920411717243,Labor strike at the port delayed the shipment.
Darjeeling,June,2021,1785.0414866960275,248.1895611029542,227.6868459806448,238.77689629714652,Labor strike at the port delayed the shipment.
Wayanad,January,2021,871.9886534677554,59.698566244984534,48.35429131817859,46.47829283506739,Labor strike at the port delayed the shipment.
Wayanad,January,2021,1948.0831950570732,228.7483280151993,213.2967302057145,237.70788936995004,"Due to rush at the port, the shipment was delayed."
Dooars,February,2021,1917.5903698813363,106.90612901846286,88.5728279447113,93.9500492277645,Customs clearance issues delayed the shipment.
Dooars,January,2021,1285.885329138574,151.9465579025715,132.22354905582964,145.79657162838882,Adverse weather conditions caused a delay in transportation.
Terai,February,2021,502.86417733166064,97.30532323238216,93.15024365826167,91.95562001165685,Customs clearance issues delayed the shipment.
Assam,August,2021,1644.4137249830328,267.0075933408058,262.6153112657859,243.34422824608868,Adverse weather conditions caused a delay in transportation.
Munnar,July,2021,1889.9712982759406,395.3204335456374,366.54935197223,373.40994377315883,Road blockages due to flooding delayed the shipment.
Munnar,April,2021,667.6322179928229,272.57305470292226,249.84652018898984,225.0475572255203,"Due to rush at the port, the shipment was delayed."
Meghalaya,January,2021,1348.3440185187933,348.429679425019,326.9654388462146,306.1814254748607,Labor strike at the port delayed the shipment.
Assam,May,2021,1783.53324451793,239.2866086257228,216.31310476722442,203.3209225547641,Road blockages due to flooding delayed the shipment.
Darjeeling,June,2021,1372.103983349009,135.69123457491202,126.97554471247331,117.68244743068132,Road blockages due to flooding delayed the shipment.
Wayanad,August,2021,1804.7715240151467,141.3370250526646,133.87324181143157,157.84633990555304,Labor strike at the port delayed the shipment.
Assam,December,2021,1051.0792444073757,455.15541939989856,383.2034946817198,424.1702930996803,"Due to rush at the port, the shipment was delayed."
Darjeeling,April,2021,1282.16982864477,363.9169308643852,355.81153744901474,324.79528736068386,Customs clearance issues delayed the shipment.
Nilgiri,July,2021,1651.6783076050517,139.1355160826477,129.7538780424531,134.38693050393348,Labor strike at the port delayed the shipment.
Tripura,February,2021,1380.4945889238256,286.93912411207396,282.74426010446984,319.0784173890496,Labor strike at the port delayed the shipment.
Terai,June,2021,1951.6376697004137,499.81441135779784,402.8272011851441,465.3933602990232,Road blockages due to flooding delayed the shipment.
Dooars,April,2021,1705.3690158610787,55.97945773922493,54.35499609039679,55.52874492686268,Customs clearance issues delayed the shipment.
Wayanad,September,2021,1106.5263102389845,370.045427878672,343.47010089098916,384.72474025196374,Labor strike at the port delayed the shipment.
Nilgiri,January,2021,1345.911049495234,179.03544302505645,174.77115138416013,199.27780335698165,"Due to rush at the port, the shipment was delayed."
Munnar,January,2021,1603.4480084678228,296.10981046919477,284.59449415522766,304.4178176046669,"Due to rush at the port, the shipment was delayed."
Darjeeling,March,2021,1070.8128137563626,469.8538994402196,430.0837547797494,432.3119063306461,Road blockages due to flooding delayed the shipment.
Tripura,December,2021,1998.0758987072177,310.35957087938885,277.13422009749144,320.4963773599784,Labor strike at the port delayed the shipment.
Wayanad,January,2021,1193.7363915334668,465.53105914120226,416.8731314567758,442.94908363941306,Customs clearance issues delayed the shipment.
Assam,January,2021,893.8947070709742,319.28259603601725,257.535941331273,281.0663336696639,Labor strike at the port delayed the shipment.
Tripura,April,2021,1480.8000409853641,205.91543326648494,194.46790233058545,221.89969762673482,Customs clearance issues delayed the shipment.
Nilgiri,December,2021,525.6304809204905,97.92154821101037,83.70393272244901,85.88292884698517,Labor strike at the port delayed the shipment.
Tripura,October,2021,1658.8769555413223,69.39688140383933,57.84312983245459,57.96023207318456,Labor strike at the port delayed the shipment.
Munnar,August,2021,1653.7721550452202,395.77632952708785,375.834191017278,395.09083376513144,"Due to rush at the port, the shipment was delayed."
Terai,August,2021,525.3194306490165,292.2699350874041,282.3480432649124,306.1510526287315,Labor strike at the port delayed the shipment.
Wayanad,January,2021,1572.7012046594452,155.66328016793983,140.4513486785602,141.4621942254879,Road blockages due to flooding delayed the shipment.
Assam,November,2021,923.910869557599,63.829813903582846,54.13744881717014,62.09946865223933,Adverse weather conditions caused a delay in transportation.
Darjeeling,March,2021,583.5257813285277,452.62863899419614,433.9482819374945,453.3719341224005,"Due to rush at the port, the shipment was delayed."
Dooars,October,2021,886.9749334193955,225.54011357918102,195.41032115981642,200.61635717402007,Road blockages due to flooding delayed the shipment.
Meghalaya,June,2021,1662.443536532319,381.671848935479,379.76147797574,426.14714321604015,Adverse weather conditions caused a delay in transportation.
Meghalaya,November,2021,1634.5727641810229,174.51197320677352,170.30111961353862,173.96938401086473,Customs clearance issues delayed the shipment.
Arunachal Pradesh,October,2021,1268.9913722832546,486.31050375137534,468.6796604823847,550.9921489557921,Adverse weather conditions caused a delay in transportation.
Dooars,June,2021,661.8516546656225,416.3176144656538,343.08710081417814,349.9404750111436,"Due to rush at the port, the shipment was delayed."
Dooars,August,2021,1153.0581994685135,62.22490132945971,53.416466500729975,49.8054737792058,Customs clearance issues delayed the shipment.
Dooars,June,2021,1481.5200451814555,479.8448443058654,453.6066233980159,434.0739012935132,"Due to rush at the port, the shipment was delayed."
Nilgiri,December,2021,601.0931622505341,310.16877967568666,304.5917392584517,301.60201065248407,Adverse weather conditions caused a delay in transportation.
Arunachal Pradesh,February,2021,661.8211557810351,55.687605029566235,51.9821299809285,52.946471895603985,Labor strike at the port delayed the shipment.
Terai,May,2021,1328.9840418473636,451.21624991411704,446.0412104963005,461.320857974319,Road blockages due to flooding delayed the shipment.
Nilgiri,March,2021,579.7317567127463,333.7462883604625,289.29366446898206,295.25918702500417,Customs clearance issues delayed the shipment.
Nilgiri,September,2021,1558.3811187370275,197.08556276496603,193.44292634624787,204.36016106789347,Labor strike at the port delayed the shipment.
Arunachal Pradesh,March,2021,1924.28649044349,447.24902755649276,422.7331970798942,391.055667944755,"Due to rush at the port, the shipment was delayed."
Arunachal Pradesh,May,2021,630.7052741708399,397.87460578455136,348.2278068872797,338.12023849356046,Adverse weather conditions caused a delay in transportation.
Arunachal Pradesh,June,2021,1425.1889571519414,406.80446733510763,386.75398987262787,351.9697298854596,Labor strike at the port delayed the shipment.
Munnar,August,2021,1244.3554525914553,223.83807186216137,187.57545124464838,175.41004562772807,"Due to rush at the port, the shipment was delayed."
Darjeeling,May,2021,1905.8729496591295,313.5775535215755,283.24512244507326,287.15852976410537,Road blockages due to flooding delayed the shipment.
Munnar,April,2021,554.3315273512563,230.2452562822201,212.52052445342346,203.5450228670187,Labor strike at the port delayed the shipment.
Nilgiri,April,2021,1863.6322685787518,352.0188372657169,322.12272564802186,384.28563749942816,Adverse weather conditions caused a delay in transportation.
Meghalaya,August,2021,919.9477932618413,203.53750179819,199.13125396672353,215.24717319479518,Customs clearance issues delayed the shipment.
Darjeeling,February,2021,1525.7927013116941,260.52833889954536,212.3099059531966,242.6590101873808,Customs clearance issues delayed the shipment.
Dooars,April,2021,975.0407057417194,345.08952671658443,287.53824047382284,312.1400221825642,"Due to rush at the port, the shipment was delayed."
Meghalaya,March,2021,1988.2932311284421,405.04615466335486,334.42524447459846,306.03872902333234,Customs clearance issues delayed the shipment.
Darjeeling,June,2021,1569.6393088167795,80.8798270877423,77.7921018789432,88.20825720201154,Customs clearance issues delayed the shipment.
Tripura,May,2021,1786.5727870298074,163.10891187416257,141.56359499611904,157.3140555790762,"Due to rush at the port, the shipment was delayed."
Darjeeling,October,2021,1550.9275252820078,349.9707426570329,288.58011507873647,319.3840039504863,Road blockages due to flooding delayed the shipment.
Tripura,December,2021,1279.0230493307577,218.0899148688278,191.03241385979663,175.0478006137235,Customs clearance issues delayed the shipment.
Dooars,September,2021,1406.8823206592333,89.85852893719496,86.05092917467752,101.58295802774875,"Due to rush at the port, the shipment was delayed."
Nilgiri,April,2021,1974.9621029906812,167.91040272950335,148.9332332269107,145.80618866110657,"Due to rush at the port, the shipment was delayed."
Munnar,January,2021,1772.4844176186757,300.20949309022535,249.83999074994045,242.50824516756472,"Due to rush at the port, the shipment was delayed."
Wayanad,November,2021,887.7513108586415,349.098398043526,313.8474658490409,346.46122743156036,"Due to rush at the port, the shipment was delayed."
Munnar,March,2021,1474.7610779520628,54.962894081487576,45.53800979601729,45.37770651421432,"Due to rush at the port, the shipment was delayed."
Wayanad,July,2021,752.0293729863234,108.43334886470024,97.30691498946081,105.8492222803605,Customs clearance issues delayed the shipment.
Darjeeling,November,2021,648.9262583155705,74.05354134611159,73.61104230113702,81.62910933744787,Adverse weather conditions caused a delay in transportation.
Dooars,November,2021,982.3657649270829,433.746893527227,381.9925085886764,408.16924495067263,Labor strike at the port delayed the shipment.
Tripura,June,2021,1215.0138158039663,375.1540798302635,359.4628088349388,349.804811313412,Adverse weather conditions caused a delay in transportation.
Terai,November,2021,1011.3775506405967,412.74378740225615,381.901259164493,369.0017191744792,"Due to rush at the port, the shipment was delayed."
Assam,June,2021,675.8263081493117,245.83183792938183,211.11867590022518,240.34092246733377,"Due to rush at the port, the shipment was delayed."
Nilgiri,June,2021,1083.8084752113855,187.80642536103252,163.86804599634198,167.93720994437442,Customs clearance issues delayed the shipment.
Darjeeling,October,2021,1962.5075553105244,326.6983742218544,289.66285855075864,306.9144799859085,Adverse weather conditions caused a delay in transportation.
Assam,March,2021,748.5180031869867,312.8927185220995,265.7603758737298,274.59833435955704,Road blockages due to flooding delayed the shipment.
Nilgiri,September,2021,776.4486652462394,79.96910147407789,64.24951428749141,59.74607247379257,Customs clearance issues delayed the shipment.
Meghalaya,March,2021,902.6546802211537,404.3274963829501,394.68515248925235,362.9231349399468,Road blockages due to flooding delayed the shipment.
Munnar,April,2021,1557.403875614498,187.43618890268593,172.9364255661376,162.98135292443,Labor strike at the port delayed the shipment.
Wayanad,October,2021,730.8063065364807,327.45894605973217,306.7573290522614,310.4958775763595,Road blockages due to flooding delayed the shipment.
Dooars,August,2021,1426.496605293116,420.724920462328,381.95749582095954,453.2214978941665,Labor strike at the port delayed the shipment.
Darjeeling,August,2021,917.1642026068158,65.8420551274782,62.859195258242934,61.37589735125735,Customs clearance issues delayed the shipment.
Wayanad,December,2021,512.3430364121333,290.29294099524213,251.8269789079728,251.54223355492343,"Due to rush at the port, the shipment was delayed."
Arunachal Pradesh,August,2021,1442.0396044376876,96.09346658146312,93.60113966138371,98.52198689115386,"Due to rush at the port, the shipment was delayed."
Terai,January,2021,633.8172054779748,93.20216442423228,79.83324563082566,94.66977694827767,Customs clearance issues delayed the shipment.
Nilgiri,July,2021,1634.5427909929367,110.1744903591,92.36112249310696,104.45889239953213,"Due to rush at the port, the shipment was delayed."
Tripura,October,2021,765.42178968457,449.84193708966575,360.3290996260474,393.3760119512648,Adverse weather conditions caused a delay in transportation.
Tripura,January,2021,563.7031597476287,403.08905113876966,372.6818549830688,366.8584460276678,Customs clearance issues delayed the shipment.
Meghalaya,February,2021,1236.101092087044,404.35616409129636,367.8650412450937,391.0995949036889,Labor strike at the port delayed the shipment.
Wayanad,September,2021,1814.1577820219984,345.93756463141904,296.8202833300897,270.7597972782604,Road blockages due to flooding delayed the shipment.
Munnar,October,2021,1181.3355453330087,227.90001539123568,221.5699453151529,249.18230020091218,Customs clearance issues delayed the shipment.
Munnar,January,2021,1450.450977222034,294.612510631683,271.5152311034867,247.23762631516664,Labor strike at the port delayed the shipment.
Munnar,June,2021,879.0096633859655,342.3532066885782,280.68030833602126,257.8570506339942,Customs clearance issues delayed the shipment.
Tripura,May,2021,1114.3428240559974,79.64112808625634,73.63025711334379,69.21859099817958,Road blockages due to flooding delayed the shipment.
Wayanad,April,2021,1767.9172613996002,355.17790111026574,310.3226092542384,326.70416994410897,"Due to rush at the port, the shipment was delayed."
Darjeeling,July,2021,1285.1637887967825,116.81556176219513,112.0092085018481,111.57585225340554,Road blockages due to flooding delayed the shipment.
Meghalaya,December,2021,1430.7730405402428,79.71309581697876,70.9876575745883,80.90055475303099,Adverse weather conditions caused a delay in transportation.
Meghalaya,January,2021,1162.9402295450157,418.7598848593745,392.31235074337116,398.49173354299785,"Due to rush at the port, the shipment was delayed."
Wayanad,December,2021,1927.4010950565078,209.61217508822804,191.65793949107228,215.169167320078,Customs clearance issues delayed the shipment.
Tripura,February,2021,1570.2099958315896,312.5952186664088,255.58292644603526,269.1289407317044,Labor strike at the port delayed the shipment.
Nilgiri,November,2021,1444.6776616039338,337.5898357856797,285.17265808101683,258.63690610421384,Customs clearance issues delayed the shipment.
Wayanad,September,2021,819.4306227668951,96.96575616332902,78.06043454375148,78.93273402107619,Customs clearance issues delayed the shipment.
Nilgiri,February,2021,578.7476929909187,317.01508690650394,310.4147434239259,308.3045208298278,Adverse weather conditions caused a delay in transportation.
Assam,February,2021,640.465510396189,64.6269154072451,59.38747688833934,55.10929451613483,Labor strike at the port delayed the shipment.
Assam,September,2021,615.6561353485291,98.52327312740218,89.15538523065585,88.01535868402078,Customs clearance issues delayed the shipment.
Assam,May,2021,1203.7700690442211,137.4762671516766,121.65664576543533,133.65432175262535,Customs clearance issues delayed the shipment.
Terai,February,2021,1131.4089073108612,189.4591297162193,170.2267503980595,199.44150804351153,"Due to rush at the port, the shipment was delayed."
Nilgiri,July,2021,685.143835184278,384.37861371330484,368.3994596006335,346.00339285036256,Road blockages due to flooding delayed the shipment.
Munnar,January,2021,511.99527080640195,452.7992232832945,446.52897193264437,509.29375256703344,Road blockages due to flooding delayed the shipment.
Dooars,March,2021,1788.7585533842325,111.79537325356836,104.22816795547152,102.4044833086135,Customs clearance issues delayed the shipment.
Dooars,April,2021,1916.2656971675972,154.13804505903187,148.24129292298636,149.68978713115132,Customs clearance issues delayed the shipment.
Dooars,August,2021,1524.2147638952772,398.12446638196377,318.9056609122898,291.96184059534187,Adverse weather conditions caused a delay in transportation.
Assam,October,2021,1428.1860182948453,191.64607350812358,181.60269346223683,164.35053825260343,Road blockages due to flooding delayed the shipment.
Meghalaya,November,2021,1288.1657870771915,487.0614754653269,482.6653459770021,523.7501878255204,Customs clearance issues delayed the shipment.
Dooars,February,2021,766.505020385254,89.77837050013278,80.24398945078323,84.01464337923768,"Due to rush at the port, the shipment was delayed."
Terai,August,2021,1901.959130284061,193.2634459842188,161.5994290393109,188.60005923868283,Adverse weather conditions caused a delay in transportation.
Terai,May,2021,1684.8425459210218,164.7486473017065,136.71364147374717,139.5511643958188,Road blockages due to flooding delayed the shipment.
Arunachal Pradesh,January,2021,1478.8852951566985,266.2314551196886,244.17238934784362,230.0462890479263,Customs clearance issues delayed the shipment.
Tripura,August,2021,1589.1965590656653,364.0109045775534,305.819748330056,358.6396675558405,"Due to rush at the port, the shipment was delayed."
Tripura,June,2021,1293.037305796453,66.38042028642586,60.480962177476066,67.97929443911615,Road blockages due to flooding delayed the shipment.
Terai,December,2021,1864.5845212203228,403.05670357973884,379.29715824739185,352.67862389883464,"Due to rush at the port, the shipment was delayed."
