Region,Month,Year,Action,Reason
Munnar,January,2021,Reduce Supply,"High supply (1.62), oversupply risk."
Munnar,June,2021,Increase Supply,"Low supply (0.51), demand exceeds supply."
Tripura,May,2021,Increase Supply,"Low supply (0.67), demand exceeds supply."
Wayanad,April,2021,Increase Supply,"Low supply (0.68), demand exceeds supply."
Darjeeling,July,2021,Monitor,Balanced supply-demand (0.86).
Meghalaya,December,2021,Reduce Supply,"High supply (1.62), oversupply risk."
Meghalaya,January,2021,Increase Supply,"Low supply (0.69), demand exceeds supply."
Wayanad,December,2021,Monitor,Balanced supply-demand (0.97).
Tripura,February,2021,Monitor,Balanced supply-demand (1.18).
Nilgiri,November,2021,Reduce Supply,"High supply (1.56), oversupply risk."
Wayanad,September,2021,Monitor,Balanced supply-demand (0.89).
Nilgiri,February,2021,Increase Supply,"Low supply (0.31), demand exceeds supply."
Assam,February,2021,Increase Supply,"Low supply (0.43), demand exceeds supply."
Assam,September,2021,Monitor,Balanced supply-demand (1.01).
Assam,May,2021,Increase Supply,"Low supply (0.50), demand exceeds supply."
Terai,February,2021,Increase Supply,"Low supply (0.28), demand exceeds supply."
Nilgiri,July,2021,Monitor,Balanced supply-demand (0.98).
Munnar,January,2021,Monitor,Balanced supply-demand (0.89).
Dooars,March,2021,Reduce Supply,"High supply (1.57), oversupply risk."
Dooars,April,2021,Increase Supply,"Low supply (0.42), demand exceeds supply."
Dooars,August,2021,Monitor,Balanced supply-demand (0.86).
Assam,October,2021,Monitor,Balanced supply-demand (0.98).
Meghalaya,November,2021,Reduce Supply,"High supply (1.22), oversupply risk."
Dooars,February,2021,Increase Supply,"Low supply (0.78), demand exceeds supply."
Terai,August,2021,Increase Supply,"Low supply (0.66), demand exceeds supply."
Terai,May,2021,Reduce Supply,"High supply (1.45), oversupply risk."
Arunachal Pradesh,January,2021,Increase Supply,"Low supply (0.64), demand exceeds supply."
Tripura,August,2021,Reduce Supply,"High supply (1.25), oversupply risk."
Tripura,June,2021,Increase Supply,"Low supply (0.46), demand exceeds supply."
Terai,December,2021,Increase Supply,"Low supply (0.49), demand exceeds supply."
Terai,June,2021,Increase Supply,"Low supply (0.64), demand exceeds supply."
Munnar,January,2021,Increase Supply,"Low supply (0.48), demand exceeds supply."
Assam,September,2021,Reduce Supply,"High supply (1.37), oversupply risk."
Meghalaya,July,2021,Monitor,Balanced supply-demand (0.95).
Assam,February,2021,Increase Supply,"Low supply (0.77), demand exceeds supply."
Munnar,February,2021,Monitor,Balanced supply-demand (0.86).
Dooars,June,2021,Increase Supply,"Low supply (0.72), demand exceeds supply."
Darjeeling,January,2021,Monitor,Balanced supply-demand (1.07).
Terai,January,2021,Monitor,Balanced supply-demand (1.15).
Meghalaya,September,2021,Reduce Supply,"High supply (1.75), oversupply risk."
Arunachal Pradesh,May,2021,Increase Supply,"Low supply (0.43), demand exceeds supply."
Darjeeling,August,2021,Monitor,Balanced supply-demand (1.03).
Dooars,September,2021,Increase Supply,"Low supply (0.46), demand exceeds supply."
Assam,July,2021,Increase Supply,"Low supply (0.38), demand exceeds supply."
Arunachal Pradesh,April,2021,Increase Supply,"Low supply (0.56), demand exceeds supply."
Terai,July,2021,Monitor,Balanced supply-demand (0.81).
Terai,January,2021,Increase Supply,"Low supply (0.79), demand exceeds supply."
Assam,December,2021,Monitor,Balanced supply-demand (0.89).
Wayanad,August,2021,Increase Supply,"Low supply (0.72), demand exceeds supply."
Wayanad,July,2021,Increase Supply,"Low supply (0.49), demand exceeds supply."
Terai,April,2021,Increase Supply,"Low supply (0.27), demand exceeds supply."
Meghalaya,July,2021,Monitor,Balanced supply-demand (0.97).
Darjeeling,February,2021,Monitor,Balanced supply-demand (1.13).
Assam,December,2021,Reduce Supply,"High supply (2.40), oversupply risk."
Dooars,March,2021,Monitor,Balanced supply-demand (0.85).
Terai,September,2021,Monitor,Balanced supply-demand (1.02).
Terai,June,2021,Increase Supply,"Low supply (0.40), demand exceeds supply."
Meghalaya,December,2021,Increase Supply,"Low supply (0.66), demand exceeds supply."
Tripura,July,2021,Reduce Supply,"High supply (1.77), oversupply risk."
Terai,April,2021,Monitor,Balanced supply-demand (1.04).
Terai,February,2021,Increase Supply,"Low supply (0.37), demand exceeds supply."
Assam,September,2021,Monitor,Balanced supply-demand (0.95).
Dooars,July,2021,Reduce Supply,"High supply (1.73), oversupply risk."
Terai,September,2021,Monitor,Balanced supply-demand (0.87).
Darjeeling,April,2021,Reduce Supply,"High supply (1.89), oversupply risk."
Assam,July,2021,Increase Supply,"Low supply (0.40), demand exceeds supply."
Arunachal Pradesh,September,2021,Reduce Supply,"High supply (1.33), oversupply risk."
Darjeeling,January,2021,Monitor,Balanced supply-demand (0.93).
Wayanad,January,2021,Increase Supply,"Low supply (0.67), demand exceeds supply."
Wayanad,August,2021,Monitor,Balanced supply-demand (0.85).
Munnar,June,2021,Reduce Supply,"High supply (2.58), oversupply risk."
Munnar,February,2021,Reduce Supply,"High supply (2.21), oversupply risk."
Meghalaya,January,2021,Monitor,Balanced supply-demand (1.19).
Wayanad,February,2021,Monitor,Balanced supply-demand (0.93).
Meghalaya,September,2021,Increase Supply,"Low supply (0.53), demand exceeds supply."
Dooars,March,2021,Increase Supply,"Low supply (0.75), demand exceeds supply."
Nilgiri,April,2021,Monitor,Balanced supply-demand (0.83).
Arunachal Pradesh,October,2021,Increase Supply,"Low supply (0.65), demand exceeds supply."
Terai,June,2021,Increase Supply,"Low supply (0.69), demand exceeds supply."
Munnar,September,2021,Reduce Supply,"High supply (2.43), oversupply risk."
Wayanad,July,2021,Increase Supply,"Low supply (0.70), demand exceeds supply."
Tripura,April,2021,Reduce Supply,"High supply (1.54), oversupply risk."
Arunachal Pradesh,June,2021,Reduce Supply,"High supply (1.27), oversupply risk."
Arunachal Pradesh,April,2021,Increase Supply,"Low supply (0.61), demand exceeds supply."
Arunachal Pradesh,July,2021,Reduce Supply,"High supply (1.49), oversupply risk."
Wayanad,November,2021,Monitor,Balanced supply-demand (0.95).
Terai,May,2021,Monitor,Balanced supply-demand (0.98).
Dooars,January,2021,Increase Supply,"Low supply (0.59), demand exceeds supply."
Darjeeling,March,2021,Increase Supply,"Low supply (0.62), demand exceeds supply."
Assam,July,2021,Monitor,Balanced supply-demand (0.99).
Meghalaya,August,2021,Monitor,Balanced supply-demand (1.16).
Terai,November,2021,Increase Supply,"Low supply (0.37), demand exceeds supply."
Darjeeling,March,2021,Reduce Supply,"High supply (1.31), oversupply risk."
Assam,December,2021,Monitor,Balanced supply-demand (0.96).
Tripura,September,2021,Reduce Supply,"High supply (1.37), oversupply risk."
Tripura,October,2021,Reduce Supply,"High supply (1.89), oversupply risk."
Nilgiri,March,2021,Increase Supply,"Low supply (0.50), demand exceeds supply."
Nilgiri,September,2021,Increase Supply,"Low supply (0.72), demand exceeds supply."
Wayanad,January,2021,Monitor,Balanced supply-demand (0.88).
Arunachal Pradesh,August,2021,Increase Supply,"Low supply (0.49), demand exceeds supply."
Meghalaya,May,2021,Increase Supply,"Low supply (0.35), demand exceeds supply."
Darjeeling,December,2021,Monitor,Balanced supply-demand (1.14).
Dooars,August,2021,Reduce Supply,"High supply (1.72), oversupply risk."
Dooars,August,2021,Monitor,Balanced supply-demand (0.94).
Tripura,March,2021,Increase Supply,"Low supply (0.68), demand exceeds supply."
Terai,September,2021,Increase Supply,"Low supply (0.33), demand exceeds supply."
Nilgiri,September,2021,Monitor,Balanced supply-demand (1.01).
Munnar,May,2021,Increase Supply,"Low supply (0.53), demand exceeds supply."
Tripura,February,2021,Reduce Supply,"High supply (1.57), oversupply risk."
Nilgiri,May,2021,Monitor,Balanced supply-demand (0.85).
Tripura,July,2021,Increase Supply,"Low supply (0.73), demand exceeds supply."
Terai,September,2021,Increase Supply,"Low supply (0.72), demand exceeds supply."
Nilgiri,November,2021,Increase Supply,"Low supply (0.61), demand exceeds supply."
Nilgiri,April,2021,Increase Supply,"Low supply (0.41), demand exceeds supply."
Terai,April,2021,Reduce Supply,"High supply (1.33), oversupply risk."
Munnar,November,2021,Increase Supply,"Low supply (0.46), demand exceeds supply."
Arunachal Pradesh,March,2021,Reduce Supply,"High supply (1.60), oversupply risk."
Meghalaya,April,2021,Increase Supply,"Low supply (0.29), demand exceeds supply."
Tripura,June,2021,Increase Supply,"Low supply (0.41), demand exceeds supply."
Dooars,April,2021,Increase Supply,"Low supply (0.72), demand exceeds supply."
Munnar,June,2021,Monitor,Balanced supply-demand (1.17).
Wayanad,August,2021,Monitor,Balanced supply-demand (0.84).
Dooars,December,2021,Increase Supply,"Low supply (0.64), demand exceeds supply."
Terai,October,2021,Increase Supply,"Low supply (0.43), demand exceeds supply."
Terai,June,2021,Monitor,Balanced supply-demand (1.06).
Munnar,April,2021,Reduce Supply,"High supply (1.31), oversupply risk."
Dooars,August,2021,Monitor,Balanced supply-demand (1.04).
Dooars,December,2021,Reduce Supply,"High supply (1.64), oversupply risk."
Dooars,December,2021,Increase Supply,"Low supply (0.54), demand exceeds supply."
Dooars,August,2021,Monitor,Balanced supply-demand (0.87).
Assam,June,2021,Increase Supply,"Low supply (0.65), demand exceeds supply."
Dooars,June,2021,Monitor,Balanced supply-demand (1.16).
Darjeeling,April,2021,Reduce Supply,"High supply (1.45), oversupply risk."
Dooars,May,2021,Increase Supply,"Low supply (0.61), demand exceeds supply."
Wayanad,November,2021,Increase Supply,"Low supply (0.55), demand exceeds supply."
Meghalaya,January,2021,Increase Supply,"Low supply (0.61), demand exceeds supply."
Dooars,August,2021,Increase Supply,"Low supply (0.67), demand exceeds supply."
Assam,November,2021,Increase Supply,"Low supply (0.75), demand exceeds supply."
Tripura,July,2021,Increase Supply,"Low supply (0.53), demand exceeds supply."
Wayanad,July,2021,Increase Supply,"Low supply (0.26), demand exceeds supply."
Terai,December,2022,Increase Supply,"Low supply (0.24), demand exceeds supply."
Assam,December,2022,Increase Supply,"Low supply (0.40), demand exceeds supply."
Wayanad,January,2022,Reduce Supply,"High supply (1.58), oversupply risk."
Wayanad,October,2022,Increase Supply,"Low supply (0.71), demand exceeds supply."
Terai,November,2022,Reduce Supply,"High supply (1.59), oversupply risk."
Meghalaya,November,2022,Monitor,Balanced supply-demand (1.04).
Assam,April,2022,Monitor,Balanced supply-demand (0.94).
Terai,May,2022,Increase Supply,"Low supply (0.76), demand exceeds supply."
Munnar,November,2022,Increase Supply,"Low supply (0.33), demand exceeds supply."
Assam,July,2022,Increase Supply,"Low supply (0.61), demand exceeds supply."
Darjeeling,March,2022,Increase Supply,"Low supply (0.56), demand exceeds supply."
Meghalaya,March,2022,Monitor,Balanced supply-demand (0.95).
Assam,June,2022,Monitor,Balanced supply-demand (1.17).
Assam,April,2022,Increase Supply,"Low supply (0.44), demand exceeds supply."
Meghalaya,January,2022,Increase Supply,"Low supply (0.37), demand exceeds supply."
Meghalaya,June,2022,Reduce Supply,"High supply (1.69), oversupply risk."
Meghalaya,August,2022,Increase Supply,"Low supply (0.55), demand exceeds supply."
Nilgiri,February,2022,Monitor,Balanced supply-demand (0.87).
Terai,January,2022,Monitor,Balanced supply-demand (0.92).
Munnar,December,2022,Increase Supply,"Low supply (0.40), demand exceeds supply."
Arunachal Pradesh,February,2022,Increase Supply,"Low supply (0.45), demand exceeds supply."
Wayanad,May,2022,Increase Supply,"Low supply (0.65), demand exceeds supply."
Assam,February,2022,Increase Supply,"Low supply (0.25), demand exceeds supply."
Tripura,May,2022,Monitor,Balanced supply-demand (0.80).
Tripura,October,2022,Reduce Supply,"High supply (1.51), oversupply risk."
Munnar,September,2022,Increase Supply,"Low supply (0.75), demand exceeds supply."
Terai,February,2022,Increase Supply,"Low supply (0.45), demand exceeds supply."
Assam,December,2022,Reduce Supply,"High supply (1.38), oversupply risk."
Meghalaya,August,2022,Increase Supply,"Low supply (0.58), demand exceeds supply."
Terai,July,2022,Increase Supply,"Low supply (0.70), demand exceeds supply."
Wayanad,June,2022,Monitor,Balanced supply-demand (0.91).
Nilgiri,September,2022,Monitor,Balanced supply-demand (1.19).
Tripura,March,2022,Increase Supply,"Low supply (0.78), demand exceeds supply."
Nilgiri,February,2022,Monitor,Balanced supply-demand (0.81).
Munnar,February,2022,Increase Supply,"Low supply (0.78), demand exceeds supply."
Munnar,September,2022,Increase Supply,"Low supply (0.58), demand exceeds supply."
Tripura,May,2022,Increase Supply,"Low supply (0.29), demand exceeds supply."
Assam,February,2022,Increase Supply,"Low supply (0.64), demand exceeds supply."
Tripura,November,2022,Increase Supply,"Low supply (0.28), demand exceeds supply."
Wayanad,January,2022,Monitor,Balanced supply-demand (0.87).
Arunachal Pradesh,September,2022,Increase Supply,"Low supply (0.68), demand exceeds supply."
Meghalaya,July,2022,Increase Supply,"Low supply (0.45), demand exceeds supply."
Arunachal Pradesh,August,2022,Monitor,Balanced supply-demand (1.12).
Assam,February,2022,Increase Supply,"Low supply (0.37), demand exceeds supply."
Munnar,May,2022,Monitor,Balanced supply-demand (1.06).
Dooars,June,2022,Increase Supply,"Low supply (0.51), demand exceeds supply."
Wayanad,September,2022,Monitor,Balanced supply-demand (0.83).
Nilgiri,May,2022,Monitor,Balanced supply-demand (1.18).
Assam,October,2022,Increase Supply,"Low supply (0.57), demand exceeds supply."
Darjeeling,October,2022,Reduce Supply,"High supply (1.41), oversupply risk."
Wayanad,June,2022,Monitor,Balanced supply-demand (0.82).
Wayanad,April,2022,Reduce Supply,"High supply (1.39), oversupply risk."
Assam,December,2022,Increase Supply,"Low supply (0.49), demand exceeds supply."
Arunachal Pradesh,May,2022,Monitor,Balanced supply-demand (1.06).
Darjeeling,October,2022,Increase Supply,"Low supply (0.67), demand exceeds supply."
Assam,July,2022,Monitor,Balanced supply-demand (1.17).
Assam,March,2022,Reduce Supply,"High supply (1.69), oversupply risk."
Dooars,September,2022,Reduce Supply,"High supply (1.43), oversupply risk."
Terai,May,2022,Monitor,Balanced supply-demand (0.97).
Nilgiri,July,2022,Monitor,Balanced supply-demand (0.92).
